"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "pval" "padj"
"3" "ENSG00000000419.10" 1908.64368736024 2129.20033777035 1688.08703695013 0.792826774918632 -0.334922409620705 1.04453522958643e-05 0.000474357902437477
"8" "ENSG00000001036.11" 2288.90475746866 2508.155742735 2069.65377220231 0.825169560621255 -0.277237491732198 0.000583847609213857 0.0101076440974836
"14" "ENSG00000001561.6" 838.157701005965 929.604555336045 746.710846675885 0.803256441020725 -0.316067450698423 7.10204346727995e-05 0.00207184571233078
"15" "ENSG00000001617.9" 2327.80401297745 2152.40770954539 2503.20031640951 1.16297683998642 0.217822366656849 0.00139427248887827 0.0193718784733178
"22" "ENSG00000002330.11" 411.618258080691 342.294289702851 480.942226458532 1.40505477574879 0.490626374688726 0.00371713665022788 0.0411032710478532
"23" "ENSG00000002549.10" 1685.83126481514 1823.1131388377 1548.54939079258 0.8493984041933 -0.235486696661872 0.00313125635499355 0.0361511174534754
"24" "ENSG00000002586.15" 1635.91733337697 1808.87197844778 1462.96268830615 0.808770717738432 -0.306197330755122 1.20500500416844e-05 0.000524520853193667
"37" "ENSG00000003249.11" 575.710282515495 517.953015592392 633.467549438598 1.22302125939761 0.290449482001795 0.000951473858751464 0.0146450452708931
"41" "ENSG00000003436.12" 842.762513010195 927.723254722306 757.801771298084 0.816840331899318 -0.291873993124862 0.000320686124362652 0.00646794388176021
"43" "ENSG00000003756.14" 2845.93143730162 2484.09921964274 3207.76365496049 1.29131865168487 0.368845050590809 0.000410129410781262 0.00769285279285563
"46" "ENSG00000004059.8" 1604.23618332796 1491.68689017849 1716.78547647744 1.1509020343217 0.202765035369927 0.00494339071496497 0.0508830335058096
"49" "ENSG00000004399.10" 3669.75936465835 3346.66962929863 3992.84910001806 1.19308134423022 0.254692409266857 0.000337459246202851 0.00669765268589044
"55" "ENSG00000004660.12" 655.319175406287 594.457033466559 716.181317346014 1.20476548686727 0.268752346571165 0.00189156139672453 0.0244659734759409
"56" "ENSG00000004700.13" 3217.79101997409 3548.94523799748 2886.63680195071 0.813378795210579 -0.298000714664282 9.69270626140494e-06 0.000447767035142251
"60" "ENSG00000004779.7" 771.572355998588 840.392273694689 702.752438302487 0.83621953735119 -0.258046344126218 0.00649302021606506 0.0624419878978405
"68" "ENSG00000004897.9" 5613.14042571762 6025.57791285974 5200.7029385755 0.863104421482328 -0.212392982480398 0.000845255666037213 0.0134560993415942
"71" "ENSG00000004961.12" 611.183642643263 687.959822359074 534.407462927452 0.776800396707649 -0.364384157353723 0.000122396192575455 0.0031187301973579
"72" "ENSG00000004975.9" 1180.28287753547 1104.06629557525 1256.49945949569 1.13806522718006 0.186583246776688 0.0122554669159443 0.0992735326112271
"74" "ENSG00000005007.10" 3052.49099148371 2863.3086593432 3241.67332362422 1.13214246499286 0.179055513475745 0.0075572157061113 0.0698972218468585
"77" "ENSG00000005059.13" 490.80353947768 544.799712833171 436.807366122189 0.801776057939935 -0.318728757477301 0.00056698810280109 0.00988454934773151
"84" "ENSG00000005175.7" 2083.54796514284 2341.86025668404 1825.23567360165 0.779395640022559 -0.359572233864664 2.74822800566636e-06 0.000170677524394735
"88" "ENSG00000005206.14" 372.379706039936 278.989375778582 465.770036301289 1.66949022700759 0.739407648064726 0.00527313906565485 0.0532079895524014
"97" "ENSG00000005436.11" 775.354768179276 864.945023129329 685.764513229223 0.792841735476043 -0.334895186374681 3.90060758204183e-05 0.00131201675500289
"98" "ENSG00000005448.14" 1180.51287087205 1100.68292663097 1260.34281511313 1.14505529668826 0.195417270227572 0.0115021134946052 0.0949387718587883
"104" "ENSG00000005700.12" 2357.98201823173 2621.39540651315 2094.56862995031 0.79902811485292 -0.323681827722501 2.36281309281282e-06 0.000151896720492188
"107" "ENSG00000005812.8" 1404.16051849411 1559.74529930782 1248.5757376804 0.800499759950863 -0.321027124772627 1.0848504457222e-05 0.000486952457801493
"109" "ENSG00000005882.9" 953.778357050329 858.767926232162 1048.7887878685 1.22127149353382 0.28838395285224 0.000194799014762962 0.00438287547879011
"110" "ENSG00000005884.15" 13129.4664565087 11854.1066232436 14404.8262897738 1.21517603541112 0.281165323722834 4.76978133974659e-06 0.000256786744398846
"112" "ENSG00000005893.13" 6225.39022556791 6818.36798998479 5632.41246115103 0.826064605111405 -0.275673478098545 8.899878791349e-05 0.00248000462448215
"113" "ENSG00000005961.15" 30.1909247838103 19.6471630126926 40.734686554928 2.07331137470648 1.05193680000298 0.00271275325163697 0.0324526177425773
"116" "ENSG00000006015.15" 244.966536407635 199.089672228538 290.843400586732 1.46086633892726 0.546824185678667 1.67318073320743e-06 0.000118697008755767
"123" "ENSG00000006071.9" 21.8263898736503 15.0164331119781 28.6363466353225 1.90700057875131 0.931305281491 0.0112578449486714 0.0935878890816525
"128" "ENSG00000006194.8" 993.888384762275 915.828316899387 1071.94845262516 1.17046877984111 0.227086453656164 0.00331160976899056 0.0376100396066121
"130" "ENSG00000006282.17" 2649.22356439982 2308.40393195483 2990.0431968448 1.29528595730329 0.373270633542134 0.000352630860275593 0.0069199088028842
"131" "ENSG00000006283.15" 362.94677394705 313.090376802753 412.803171091347 1.31847926885154 0.398874887121918 0.000230514792151509 0.00497820149345192
"132" "ENSG00000006327.11" 1724.14676444406 1540.61571129135 1907.67781759676 1.23825675904457 0.308310495968056 0.00171171943258572 0.0226960834700517
"135" "ENSG00000006451.5" 2289.63965371635 2573.47838514175 2005.80092229095 0.779412383593994 -0.359541241122631 5.83675821219894e-06 0.000301640893245272
