"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "pval" "padj"
"3" "ENSG00000000419.10" 1754.58342112795 2012.43970243842 1496.72713981747 0.743737632488529 -0.42713432175867 4.02824661738347e-05 0.000569819125694663
"7" "ENSG00000000971.13" 192.582447748078 225.092844728126 160.072050768031 0.711137890506342 -0.491798767586032 0.00100456067343962 0.00812533830868488
"14" "ENSG00000001561.6" 1260.37959761622 1549.39993515609 971.359260076353 0.626926100896277 -0.67363269995222 6.8297716670473e-06 0.00013313558662811
"17" "ENSG00000001629.7" 4104.88967614799 4692.22414544343 3517.55520685255 0.74965626061756 -0.415698865652076 1.59319726156464e-05 0.000267615825265088
"20" "ENSG00000002016.14" 332.063645895573 285.36146148223 378.765830308917 1.32731949276376 0.408515676772317 0.00104024065772741 0.00837255048668412
"22" "ENSG00000002330.11" 561.776252581613 433.621449854746 689.93105530848 1.59109069797998 0.67001607689864 6.79893490569376e-09 4.69761075750734e-07
"37" "ENSG00000003249.11" 1356.6553941161 1100.5491272537 1612.76166097849 1.46541541948515 0.551309701285227 1.17060680708171e-07 4.89858773159952e-06
"41" "ENSG00000003436.12" 796.664222020917 950.862837879377 642.465606162456 0.67566591160013 -0.565618024148248 0.000124082248149046 0.00144384927374631
"43" "ENSG00000003756.14" 2855.73192368401 2224.84507780118 3486.61876956685 1.5671287876874 0.648123746321723 5.91515744977066e-11 9.3357398694553e-09
"46" "ENSG00000004059.8" 1872.48086277361 1563.8909611814 2181.07076436582 1.39464375618501 0.479896651215216 3.12196929297267e-05 0.000458951627693173
"47" "ENSG00000004139.11" 415.03993383417 320.204591268181 509.875276400159 1.59234217842031 0.671150389942536 7.36046298615836e-08 3.33117198203254e-06
"55" "ENSG00000004660.12" 158.03710250357 127.547046388053 188.527158619087 1.47809897569487 0.563742877713611 0.000184641088589307 0.00200799605680963
"56" "ENSG00000004700.13" 4096.8994867244 4942.41176121079 3251.38721223801 0.657854377442943 -0.604159830367305 5.73108663201283e-10 6.08160223762945e-08
"57" "ENSG00000004766.13" 1222.05944884061 1401.5890862532 1042.52981142802 0.743819869641653 -0.426974807746015 3.20184559478222e-05 0.000467818530230117
"59" "ENSG00000004777.16" 351.323713221691 247.23526447803 455.412161965352 1.84201943410796 0.88128828257109 9.00032736877713e-08 3.90290346652746e-06
"68" "ENSG00000004897.9" 6517.0017066229 7576.88318581173 5457.12022743406 0.720232857443667 -0.473464677267339 9.23628167458229e-07 2.62020501666161e-05
"74" "ENSG00000005007.10" 4333.11914214293 3849.39769081548 4816.84059347038 1.25132318881034 0.32345445351342 0.00104602850661455 0.00841260174021199
"75" "ENSG00000005020.10" 1638.20526300814 1889.73108888225 1386.67943713402 0.733797229294788 -0.446546637684684 1.02629942260823e-05 0.000186497379589334
"79" "ENSG00000005075.13" 741.65682628116 653.031711763895 830.281940798424 1.27142667935032 0.346448267071139 0.00109246591157266 0.00872407570450568
"84" "ENSG00000005175.7" 1684.64989646321 2006.42445726213 1362.8753356643 0.679255743086394 -0.557973236446394 5.18972556740715e-07 1.65326790309245e-05
"88" "ENSG00000005206.14" 703.334276217842 424.623505623932 982.045046811753 2.31274301541258 1.20960496723334 1.16953486141212e-19 2.42421186073504e-16
"91" "ENSG00000005249.10" 1196.77398092318 1432.0457942143 961.502167632062 0.671418589766256 -0.574715612972085 0.000691643604196682 0.00600505186304804
"97" "ENSG00000005436.11" 950.677382797359 1132.11748781567 769.237277779045 0.67946771077905 -0.557523101077589 8.04560805135469e-05 0.00101482371412868
"98" "ENSG00000005448.14" 1153.48744545657 984.512616785082 1322.46227412805 1.3432659486341 0.425744967305202 0.000156169997112477 0.00175041007578267
"101" "ENSG00000005483.17" 2889.42337703365 3244.66529729619 2534.1814567711 0.781030160147136 -0.356549834542425 0.000489279697526685 0.00449946298595081
"102" "ENSG00000005486.14" 1729.88347785845 1510.07354546153 1949.69341025537 1.29112480389787 0.368628462505664 0.000722850459909495 0.00622572479210693
"104" "ENSG00000005700.12" 4204.57576941125 4970.14724040805 3439.00429841445 0.691932076067047 -0.531297673110433 7.78375663547925e-08 3.47719197284944e-06
"106" "ENSG00000005810.15" 2593.60141402071 2893.75126337113 2293.45156467028 0.792553110455829 -0.335420478721893 0.000700259106608741 0.00606644083106129
"107" "ENSG00000005812.8" 1732.6423928567 2015.6648592904 1449.619926423 0.719177059490598 -0.475581092787781 5.55677269883642e-06 0.000112043564690157
"110" "ENSG00000005884.15" 24849.6004873359 22114.4413196285 27584.7596550433 1.24736407564406 0.318882614698281 0.000950677271992907 0.00777854151073776
"111" "ENSG00000005889.13" 1239.69732992633 1390.81533570449 1088.57932414817 0.782691487649417 -0.35348434030438 0.000727627887745229 0.00625647297726069
"112" "ENSG00000005893.13" 29855.3522626307 34601.0514689353 25109.6530563261 0.725690462871321 -0.462573784829988 2.45832260128865e-06 5.6913005449938e-05
"116" "ENSG00000006015.15" 306.260477784802 241.809085085236 370.711870484367 1.53307668466507 0.616429862566837 0.000231171010432444 0.00241565482921833
"118" "ENSG00000006025.9" 298.270314136104 216.959379974501 379.581248297707 1.74954983897132 0.806983762841627 1.02193776126311e-10 1.46103840165403e-08
"122" "ENSG00000006062.11" 1728.20868450238 1439.81280444362 2016.60456456113 1.40060191042709 0.486046960433998 3.31734335269507e-06 7.33069221904726e-05
"130" "ENSG00000006282.17" 670.453109578929 498.931456123493 841.974763034366 1.68755598128887 0.754935361475012 1.11861487752722e-11 2.34999822784299e-09
"132" "ENSG00000006327.11" 3044.57195810533 2568.25785576612 3520.88606044453 1.37092389400839 0.455148483017727 4.7267635784878e-06 9.82383243197477e-05
"135" "ENSG00000006451.5" 3179.52910917989 3758.28662147784 2600.77159688195 0.6920099127137 -0.53113539095532 7.63597542602623e-08 3.4265345613018e-06
"138" "ENSG00000006468.11" 1197.72572199704 1494.69294914168 900.758494852398 0.602637816261629 -0.730636888232264 0.000143442954760379 0.00162830534845189
"142" "ENSG00000006576.14" 2966.81534995209 3500.28269118042 2433.34800872376 0.695186138781022 -0.524528778142476 8.91454839287113e-07 2.55222042938443e-05
"146" "ENSG00000006625.15" 1926.20768124627 2228.41576908837 1623.99959340416 0.728768668724924 -0.456467158863227 2.18923199668787e-05 0.000345796562011502
"147" "ENSG00000006634.5" 1834.48219863806 2126.6327269336 1542.33167034252 0.725245902035191 -0.463457856315467 3.97415096631146e-06 8.51776911526885e-05
"154" "ENSG00000006715.13" 3028.22902025684 3398.75264635047 2657.7053941632 0.781964935582178 -0.354824178398071 0.000326088354752879 0.00320440553918347
"167" "ENSG00000007080.8" 1473.84449746917 1175.21368864462 1772.47530629373 1.50821533430056 0.592842423002629 0.000180858941284901 0.00197446144748249
"183" "ENSG00000007376.5" 638.712360635964 527.96450885604 749.460212415888 1.41952763840087 0.505410938809182 1.78483949592965e-05 0.000293309881646113
"184" "ENSG00000007384.13" 511.703837664131 375.096479603909 648.311195724354 1.72838517815191 0.789424764194398 1.20235306563942e-09 1.09629212659416e-07
"188" "ENSG00000007520.3" 744.616209664125 653.543047834864 835.689371493387 1.2787059310966 0.354684520256859 0.00104147249344502 0.00837812749448707
"189" "ENSG00000007541.12" 902.235298733649 679.865111580924 1124.60548588637 1.65415972481846 0.726098547131823 6.73919638015487e-10 6.84755208665932e-08
"203" "ENSG00000008128.20" 145.09009904084 118.885805711416 171.294392370264 1.44083131998167 0.52690144719187 0.000954932206505261 0.00781130022748265
"210" "ENSG00000008282.5" 5286.57357452878 5877.69109365615 4695.45605540142 0.798860637720357 -0.323984249814285 0.00122111182634559 0.00950834182437693
"213" "ENSG00000008300.12" 869.534145925971 692.940095321669 1046.12819653027 1.50969499902391 0.594257113893897 2.27046195092831e-07 8.41396936570476e-06
"217" "ENSG00000008382.13" 260.947360482898 211.789055326065 310.10566563973 1.4642195044607 0.550131847514553 0.000261978493531301 0.00267677795625212
"227" "ENSG00000008838.15" 2385.62545478716 2100.2808498898 2670.97005968451 1.2717204272108 0.346781545930528 0.000702340135455492 0.00607769537756253
"230" "ENSG00000008952.14" 7971.85805672224 9522.92259427496 6420.79351916952 0.674246110435635 -0.568652800964721 7.63506397457371e-09 5.11615105813461e-07
"232" "ENSG00000009307.13" 37350.4074433789 41701.2883275644 32999.5265591934 0.791331104688697 -0.337646628832018 0.00041689883492935 0.00393749045432058
"234" "ENSG00000009413.13" 2090.86395408146 2482.35466682538 1699.37324133753 0.684581161607665 -0.546706502260824 6.74592329525263e-08 3.10108278528996e-06
"244" "ENSG00000009954.8" 12449.8310979114 13814.0447508633 11085.6174449595 0.802488890465388 -0.317446674965734 0.00109578153959669 0.00874263269929181
"245" "ENSG00000010017.11" 3767.57922731194 4255.26834047151 3279.89011415238 0.770783379971039 -0.375602631053247 0.000117375648522253 0.00138288884571955
"251" "ENSG00000010256.8" 10072.2469701428 8709.14428962925 11435.3496506564 1.31302792448547 0.392897598704764 7.83024468661399e-05 0.000991278370505709
"252" "ENSG00000010270.11" 2644.5465397062 2949.42951880799 2339.66356060441 0.793259695030784 -0.334134846362023 0.000706490218700694 0.00611020692067927
"256" "ENSG00000010295.17" 693.817366575917 514.701680242228 872.933052909606 1.69599806338069 0.762134522523358 5.96864760115568e-12 1.34476225518212e-09
"257" "ENSG00000010310.6" 30.1377349619185 18.9603807534113 41.3150891704257 2.1790221255442 1.12368084549046 0.000540876737395773 0.00488722450424568
"260" "ENSG00000010322.13" 2573.19348970674 1930.01462552098 3216.37235389249 1.66650154426901 0.736822654326777 4.64755621794471e-10 5.12417794072116e-08
"276" "ENSG00000011009.8" 863.442440188909 718.181430381078 1008.70344999674 1.40452454954385 0.490081841406736 9.36619075426065e-06 0.000173238312273333
"278" "ENSG00000011028.11" 4965.42802299185 4068.34878694294 5862.50725904077 1.44100409430382 0.527074434626771 9.35203266373012e-05 0.00114764342594644
"282" "ENSG00000011114.12" 1802.68211880502 2031.24150240188 1574.12273520816 0.774955973155735 -0.367813744647749 0.000214952737614433 0.00227091760717226
"283" "ENSG00000011132.9" 342.16853654411 252.310156461959 432.026916626262 1.7122850807292 0.775922918044375 3.79514371077367e-10 4.30651854946624e-08
"287" "ENSG00000011243.15" 1207.98454044359 1052.30508225399 1363.66399863319 1.29588274506124 0.373935185219753 0.000551688173177985 0.00497179596490875
"296" "ENSG00000011405.11" 3763.54503430058 4455.31129062798 3071.77877797318 0.689464456599218 -0.53645191531602 8.68758184392806e-08 3.80442668579452e-06
"299" "ENSG00000011451.15" 1265.72028535124 1064.08472854935 1467.35584215314 1.37898402522285 0.463605744114205 0.000285812040234843 0.00287960724399927
"310" "ENSG00000012048.17" 3455.17799964142 3911.96497368222 2998.39102560063 0.766466736223954 -0.383704912952524 0.000105102271683788 0.00126415467357538
"313" "ENSG00000012171.15" 544.849898408635 406.780459842967 682.919336974302 1.67884007318821 0.747464805255635 1.04262435273644e-05 0.00018869194630548
"314" "ENSG00000012174.9" 1660.4419948029 1950.69597134856 1370.18801825724 0.702409826227299 -0.509615067567855 1.02984794431036e-06 2.87175177439442e-05
"319" "ENSG00000012660.11" 14049.5391560276 16085.4803457776 12013.5979662777 0.746859758492151 -0.421090728342137 1.67651057385371e-05 0.000278451211336857
"330" "ENSG00000013306.13" 2767.30035021764 2254.78695316852 3279.81374726677 1.45460028614138 0.540622765211834 1.96621958751717e-07 7.47355738570707e-06
"331" "ENSG00000013364.16" 4341.56672072939 3673.24864285192 5009.88479860686 1.36388393101458 0.447720873632833 4.5786791145344e-05 0.000634686986308978
"338" "ENSG00000013561.15" 2259.45233615757 2506.19866774444 2012.70600457071 0.803091163711346 -0.316364328852006 0.00120654516507666 0.00941850421103783
"340" "ENSG00000013573.14" 1579.24760572202 1258.95663623768 1899.53857520635 1.50881970079844 0.593420418651271 4.77174823419034e-09 3.47454791797298e-07
"345" "ENSG00000013810.16" 5353.33576457887 4505.20084766706 6201.47068149068 1.37651369854066 0.46101896715711 4.81045041003563e-06 9.97110160992186e-05
"346" "ENSG00000014123.9" 1966.26439671826 2400.99606931615 1531.53272412037 0.637873898959184 -0.648656848526412 9.18036294672093e-10 8.83702305694882e-08
"348" "ENSG00000014164.6" 502.451417307618 418.917723694535 585.985110920701 1.39880715896372 0.484197084744941 2.88541762567771e-05 0.000430280119029119
"349" "ENSG00000014216.13" 2798.4754146031 2477.66518650813 3119.28564269807 1.25896172722764 0.332234425409461 0.00104724841500037 0.00842023473472758
"352" "ENSG00000014824.11" 5340.22731102401 6067.7648624591 4612.68975958892 0.760195865223348 -0.395556916619862 4.07986925499759e-05 0.000576596794892659
"357" "ENSG00000015171.16" 3803.81080970939 4300.92742594815 3306.69419347063 0.768832827431787 -0.379258157628524 0.000130315202616373 0.00150287844204312
"361" "ENSG00000015479.15" 15652.5315156978 17851.3262463695 13453.7367850261 0.753654748075776 -0.40802432379483 1.71813014171286e-05 0.000284149480670938
"373" "ENSG00000017260.17" 5962.98904526815 6763.11463222335 5162.86345831295 0.763385472384885 -0.389516363295525 5.39418661545092e-05 0.000726672661384748
"380" "ENSG00000018408.12" 10996.0068877819 12477.431456819 9514.58231874478 0.762543344892108 -0.391108748559128 5.94660995819701e-05 0.000788742148660145
"381" "ENSG00000018510.10" 6834.64932153998 7999.30934293629 5669.98930014367 0.708809855584657 -0.496529431027926 3.16576350531264e-07 1.10466127570694e-05
"388" "ENSG00000019144.14" 3677.89418327663 3085.39065126559 4270.39771528768 1.38407034893167 0.46891727352053 0.00125362502288942 0.00971286050627407
"397" "ENSG00000020129.13" 1422.41433976832 1203.6905545656 1641.13812497103 1.36342195155241 0.44723211621864 1.15982679864123e-05 0.000206418630929326
"401" "ENSG00000020426.8" 847.902115331683 950.668365355893 745.135865307472 0.783802104352681 -0.351438648592939 0.00119256225105755 0.00934077481005116
"409" "ENSG00000021574.9" 1230.62671954095 1520.46792931335 940.785509768549 0.618747355094438 -0.692577641757723 2.71596286311905e-08 1.45921261641004e-06
"411" "ENSG00000021762.17" 401.173228741024 327.624774528291 474.721682953758 1.44897980818836 0.53503749080272 8.86366048020969e-06 0.000164628991428124
"412" "ENSG00000021776.8" 2168.4134691997 2470.06363430355 1866.76330409586 0.755755146616781 -0.404009196392335 5.1216520248527e-05 0.0006965984460049
"424" "ENSG00000023191.14" 2882.26282530736 2283.28910031811 3481.23655029662 1.52465868199152 0.60848630961868 2.54563179869394e-08 1.39346450501746e-06
"426" "ENSG00000023287.10" 3831.65407527417 4638.69928584314 3024.60886470519 0.652038142230088 -0.616971734730563 6.20145797647029e-10 6.49487468340027e-08
"430" "ENSG00000023516.8" 3010.67963304058 3605.00656919853 2416.35269688263 0.670276919195694 -0.577170839000651 7.29910430027159e-09 4.94430829856306e-07
"431" "ENSG00000023572.6" 633.872402911718 755.247539647222 512.497266176214 0.678581841412688 -0.559405270282587 8.08632180053674e-07 2.3632053315458e-05
"438" "ENSG00000023909.7" 5291.98351236121 6268.64414880262 4315.32287591979 0.68839812461584 -0.538684927798485 1.33006121047653e-05 0.000229873613986304
"439" "ENSG00000024048.8" 2256.31170397137 2517.85154958219 1994.77185836054 0.792251576027805 -0.335969470320576 0.00118788797979371 0.00931495915958289
