"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "pval" "padj"
"1" "ENSG00000000003.12" 2029.06689836363 2219.47181595208 1838.66198077517 0.828423216532916 -0.271560109282148 5.9034582177837e-05 0.000561566913199913
"3" "ENSG00000000419.10" 2180.79789713357 2412.08724517124 1949.50854909591 0.808224724457474 -0.307171609108887 8.52561131101171e-06 0.00010433501251961
"5" "ENSG00000000460.14" 1633.86174448369 1804.10549610652 1463.61799286086 0.811270735563702 -0.301744646937233 3.16124634745969e-05 0.000326710488077658
"8" "ENSG00000001036.11" 3744.40946626018 4142.9180888145 3345.90084370585 0.807619357172296 -0.308252605018124 4.30832003885773e-06 5.6517473896366e-05
"9" "ENSG00000001084.8" 2417.66640955668 2665.80840300927 2169.52441610409 0.813833587460765 -0.297194272250188 1.14740958810414e-05 0.000134606944229734
"15" "ENSG00000001617.9" 844.754970600746 748.797277991161 940.712663210332 1.25629818758694 0.329178934527917 0.0034959567019333 0.0187529540477695
"17" "ENSG00000001629.7" 5415.30251206491 6060.83474880929 4769.77027532054 0.786982399785377 -0.345596723482791 1.12536220998503e-07 2.2980382731993e-06
"18" "ENSG00000001630.13" 291.534696302395 330.629224367047 252.440168237742 0.763514382979938 -0.3892727603166 0.000778876403695324 0.00523425086638526
"19" "ENSG00000001631.12" 1938.90217693866 2096.98047581106 1780.82387806627 0.84923245524138 -0.235768586902365 0.000674250458721207 0.00461063109733436
"20" "ENSG00000002016.14" 235.244669479481 209.659576151952 260.829762807011 1.24406319803858 0.315059775806917 0.00452692385346362 0.0233204261686276
"22" "ENSG00000002330.11" 750.860976665735 674.476385705056 827.245567626413 1.22650041596588 0.294547723183578 0.00393469806202772 0.0207214583634772
"29" "ENSG00000002822.13" 1468.00249258476 1366.74849012001 1569.2564950495 1.14816771805008 0.199333398394898 0.00535853297824564 0.0270240619970331
"33" "ENSG00000003056.5" 2152.43808331851 2328.87993461629 1975.99623202073 0.848474926787627 -0.237056067451323 0.00103278229755962 0.00667030190606963
"34" "ENSG00000003096.11" 280.466691664923 310.862217069246 250.071166260599 0.804443745586793 -0.313936557469488 0.00238989995087892 0.013628723531146
"37" "ENSG00000003249.11" 925.866613720744 812.120486684462 1039.61274075703 1.28012130934083 0.356280532171943 2.508851825936e-06 3.49089770800251e-05
"41" "ENSG00000003436.12" 1873.92795598654 2182.68193031319 1565.1739816599 0.717087524262097 -0.479778876779476 1.6149051599639e-05 0.00018231706262851
