Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
CHROMOSOME	19	246	13.155080213903744	2.3406071475524115E-40	ENSG00000115286, ENSG00000171124, ENSG00000126464, ENSG00000005206, ENSG00000161914, ENSG00000133275, ENSG00000130733, ENSG00000090372, ENSG00000074855, ENSG00000119559, ENSG00000127452, ENSG00000167578, ENSG00000104907, ENSG00000197857, ENSG00000167815, ENSG00000126456, ENSG00000197019, ENSG00000134815, ENSG00000133265, ENSG00000170892, ENSG00000104835, ENSG00000099622, ENSG00000087088, ENSG00000099624, ENSG00000130244, ENSG00000161249, ENSG00000170889, ENSG00000160471, ENSG00000010310, ENSG00000167468, ENSG00000129455, ENSG00000053501, ENSG00000129968, ENSG00000181392, ENSG00000099785, ENSG00000141934, ENSG00000130758, ENSG00000105393, ENSG00000105397, ENSG00000213339, ENSG00000142396, ENSG00000167595, ENSG00000161618, ENSG00000183760, ENSG00000039650, ENSG00000196684, ENSG00000153885, ENSG00000133247, ENSG00000187650, ENSG00000071655, ENSG00000037757, ENSG00000147403, ENSG00000104915, ENSG00000142279, ENSG00000105401, ENSG00000142273, ENSG00000160439, ENSG00000105270, ENSG00000063177, ENSG00000077348, ENSG00000104946, ENSG00000105671, ENSG00000129933, ENSG00000011451, ENSG00000188785, ENSG00000083845, ENSG00000161558, ENSG00000105519, ENSG00000105669, ENSG00000064687, ENSG00000090924, ENSG00000205155, ENSG00000011132, ENSG00000099795, ENSG00000104936, ENSG00000125503, ENSG00000115257, ENSG00000125505, ENSG00000197405, ENSG00000141971, ENSG00000160961, ENSG00000123154, ENSG00000090006, ENSG00000090013, ENSG00000142541, ENSG00000105135, ENSG00000179922, ENSG00000142546, ENSG00000185236, ENSG00000130159, ENSG00000130255, ENSG00000179134, ENSG00000104960, ENSG00000197961, ENSG00000160953, ENSG00000171606, ENSG00000105287, ENSG00000186010, ENSG00000167685, ENSG00000130165, ENSG00000104957, ENSG00000064932, ENSG00000161265, ENSG00000083807, ENSG00000180089, ENSG00000124299, ENSG00000198858, ENSG00000105771, ENSG00000131400, ENSG00000125746, ENSG00000099817, ENSG00000176909, ENSG00000011590, ENSG00000063169, ENSG00000167676, ENSG00000160113, ENSG00000118162, ENSG00000167671, ENSG00000127511, ENSG00000188493, ENSG00000105443, ENSG00000131037, ENSG00000213015, ENSG00000167775, ENSG00000142046, ENSG00000051128, ENSG00000221946, ENSG00000105552, ENSG00000167378, ENSG00000196705, ENSG00000167766, ENSG00000178980, ENSG00000105556, ENSG00000185761, ENSG00000079462, ENSG00000104980, ENSG00000104783, ENSG00000142459, ENSG00000105227, ENSG00000130299, ENSG00000130813, ENSG00000087903, ENSG00000104899, ENSG00000064545, ENSG00000099800, ENSG00000104897, ENSG00000105655, ENSG00000064547, ENSG00000187244, ENSG00000128626, ENSG00000105364, ENSG00000130545, ENSG00000142252, ENSG00000105221, ENSG00000178935, ENSG00000079435, ENSG00000167657, ENSG00000118046, ENSG00000183617, ENSG00000083838, ENSG00000064961, ENSG00000153902, ENSG00000077463, ENSG00000220201, ENSG00000099308, ENSG00000180448, ENSG00000179943, ENSG00000105379, ENSG00000130529, ENSG00000177051, ENSG00000105643, ENSG00000198466, ENSG00000167644, ENSG00000105376, ENSG00000161091, ENSG00000167646, ENSG00000079999, ENSG00000008382, ENSG00000167645, ENSG00000105053, ENSG00000130517, ENSG00000105583, ENSG00000064607, ENSG00000181666, ENSG00000095066, ENSG00000182310, ENSG00000105486, ENSG00000006015, ENSG00000174917, ENSG00000104872, ENSG00000076944, ENSG00000130311, ENSG00000099326, ENSG00000127540, ENSG00000130313, ENSG00000172006, ENSG00000062822, ENSG00000095059, ENSG00000104881, ENSG00000196757, ENSG00000182324, ENSG00000012061, ENSG00000004777, ENSG00000182318, ENSG00000132004, ENSG00000105723, ENSG00000086544, ENSG00000104884, ENSG00000130511, ENSG00000104886, ENSG00000127220, ENSG00000105325, ENSG00000182087, ENSG00000130303, ENSG00000099337, ENSG00000177954, ENSG00000167615, ENSG00000182472, ENSG00000099840, ENSG00000042753, ENSG00000076924, ENSG00000132016, ENSG00000132017, ENSG00000105613, ENSG00000104852, ENSG00000105717, ENSG00000063241, ENSG00000186567, ENSG00000181035, ENSG00000179271, ENSG00000076928, ENSG00000125731, ENSG00000125733, ENSG00000072071, ENSG00000011243, ENSG00000105607, ENSG00000105701, ENSG00000167604, ENSG00000197608, ENSG00000105700, ENSG00000141858, ENSG00000132024, ENSG00000174788, ENSG00000064490, ENSG00000129347, ENSG00000167747	1821	2347	43203	2.486714786797124	5.8515178688810284E-39	5.8515178688810284E-39	1.8989867135235743E-37
CHROMOSOME	16	177	9.46524064171123	2.597788180213345E-29	ENSG00000162086, ENSG00000159792, ENSG00000174177, ENSG00000182685, ENSG00000156873, ENSG00000103091, ENSG00000213398, ENSG00000141002, ENSG00000130731, ENSG00000103126, ENSG00000135740, ENSG00000126603, ENSG00000149927, ENSG00000149926, ENSG00000005001, ENSG00000149923, ENSG00000134419, ENSG00000188599, ENSG00000169957, ENSG00000162076, ENSG00000162073, ENSG00000127586, ENSG00000196296, ENSG00000140939, ENSG00000141013, ENSG00000183889, ENSG00000196155, ENSG00000167377, ENSG00000132600, ENSG00000090565, ENSG00000161999, ENSG00000102858, ENSG00000196696, ENSG00000167371, ENSG00000149932, ENSG00000141098, ENSG00000059145, ENSG00000131165, ENSG00000086504, ENSG00000213937, ENSG00000099377, ENSG00000149930, ENSG00000153406, ENSG00000187741, ENSG00000103496, ENSG00000169217, ENSG00000007520, ENSG00000157353, ENSG00000167967, ENSG00000103148, ENSG00000158805, ENSG00000161996, ENSG00000168701, ENSG00000167964, ENSG00000008710, ENSG00000103145, ENSG00000167969, ENSG00000167513, ENSG00000140688, ENSG00000065054, ENSG00000153048, ENSG00000006327, ENSG00000065057, ENSG00000178188, ENSG00000038358, ENSG00000157350, ENSG00000133392, ENSG00000127564, ENSG00000167978, ENSG00000167508, ENSG00000079616, ENSG00000167395, ENSG00000196123, ENSG00000162004, ENSG00000063854, ENSG00000221819, ENSG00000172824, ENSG00000103152, ENSG00000075399, ENSG00000122390, ENSG00000174943, ENSG00000213918, ENSG00000059122, ENSG00000172366, ENSG00000169592, ENSG00000090238, ENSG00000154102, ENSG00000183751, ENSG00000103168, ENSG00000176715, ENSG00000007545, ENSG00000103363, ENSG00000176953, ENSG00000100726, ENSG00000103264, ENSG00000217930, ENSG00000205890, ENSG00000103067, ENSG00000176387, ENSG00000103269, ENSG00000103066, ENSG00000131652, ENSG00000104731, ENSG00000103266, ENSG00000003249, ENSG00000007541, ENSG00000169682, ENSG00000166473, ENSG00000131653, ENSG00000169221, ENSG00000197562, ENSG00000085644, ENSG00000214617, ENSG00000151006, ENSG00000188827, ENSG00000102890, ENSG00000158792, ENSG00000177548, ENSG00000185928, ENSG00000167523, ENSG00000140983, ENSG00000169715, ENSG00000129925, ENSG00000124067, ENSG00000197912, ENSG00000067836, ENSG00000091651, ENSG00000077238, ENSG00000162069, ENSG00000156858, ENSG00000205832, ENSG00000067365, ENSG00000168096, ENSG00000103502, ENSG00000197162, ENSG00000197774, ENSG00000089486, ENSG00000103507, ENSG00000162062, ENSG00000185324, ENSG00000102977, ENSG00000162066, ENSG00000124074, ENSG00000198931, ENSG00000103245, ENSG00000204991, ENSG00000103043, ENSG00000140995, ENSG00000135723, ENSG00000196502, ENSG00000095906, ENSG00000140853, ENSG00000166816, ENSG00000198736, ENSG00000140854, ENSG00000140859, ENSG00000103510, ENSG00000007384, ENSG00000125148, ENSG00000125149, ENSG00000196436, ENSG00000181404, ENSG00000222019, ENSG00000103199, ENSG00000103056, ENSG00000103253, ENSG00000156860, ENSG00000168488, ENSG00000131797, ENSG00000102871, ENSG00000103254, ENSG00000197599, ENSG00000103197, ENSG00000102879, ENSG00000102878, ENSG00000138834, ENSG00000102901	1821	1674	43203	2.5085442832426943	6.494470450533363E-28	3.2472352252666813E-28	2.107643413775084E-26
CHROMOSOME	17	156	8.342245989304812	1.179483020548454E-10	ENSG00000181523, ENSG00000073605, ENSG00000125447, ENSG00000108641, ENSG00000167363, ENSG00000008838, ENSG00000170175, ENSG00000037042, ENSG00000108509, ENSG00000168591, ENSG00000141504, ENSG00000108591, ENSG00000205544, ENSG00000108852, ENSG00000132361, ENSG00000181513, ENSG00000215041, ENSG00000173894, ENSG00000068120, ENSG00000131748, ENSG00000125458, ENSG00000198720, ENSG00000161513, ENSG00000167716, ENSG00000108469, ENSG00000108639, ENSG00000109103, ENSG00000108465, ENSG00000092929, ENSG00000161647, ENSG00000068137, ENSG00000187531, ENSG00000108262, ENSG00000170190, ENSG00000179859, ENSG00000186185, ENSG00000109046, ENSG00000129197, ENSG00000129195, ENSG00000108479, ENSG00000172057, ENSG00000197728, ENSG00000188878, ENSG00000214087, ENSG00000173818, ENSG00000132481, ENSG00000108474, ENSG00000204237, ENSG00000141524, ENSG00000141527, ENSG00000141295, ENSG00000005961, ENSG00000168256, ENSG00000167302, ENSG00000129255, ENSG00000067191, ENSG00000178999, ENSG00000073350, ENSG00000182173, ENSG00000175061, ENSG00000204650, ENSG00000220205, ENSG00000183018, ENSG00000126562, ENSG00000072778, ENSG00000185813, ENSG00000183010, ENSG00000183011, ENSG00000040531, ENSG00000212907, ENSG00000167900, ENSG00000006282, ENSG00000159314, ENSG00000108515, ENSG00000129646, ENSG00000169689, ENSG00000167880, ENSG00000108784, ENSG00000185504, ENSG00000169683, ENSG00000076604, ENSG00000186594, ENSG00000108352, ENSG00000161955, ENSG00000006062, ENSG00000175711, ENSG00000180891, ENSG00000133027, ENSG00000170037, ENSG00000120093, ENSG00000167525, ENSG00000167524, ENSG00000198242, ENSG00000091592, ENSG00000072818, ENSG00000161692, ENSG00000142507, ENSG00000108773, ENSG00000169696, ENSG00000004660, ENSG00000108826, ENSG00000180340, ENSG00000177728, ENSG00000180626, ENSG00000108821, ENSG00000129667, ENSG00000141552, ENSG00000169992, ENSG00000125319, ENSG00000178927, ENSG00000109063, ENSG00000169718, ENSG00000179094, ENSG00000166484, ENSG00000167723, ENSG00000109065, ENSG00000141738, ENSG00000169710, ENSG00000160602, ENSG00000221995, ENSG00000176155, ENSG00000070444, ENSG00000183048, ENSG00000197063, ENSG00000181350, ENSG00000087157, ENSG00000170412, ENSG00000161664, ENSG00000083454, ENSG00000185298, ENSG00000169727, ENSG00000141562, ENSG00000141258, ENSG00000198496, ENSG00000141569, ENSG00000169660, ENSG00000136444, ENSG00000154803, ENSG00000177427, ENSG00000167549, ENSG00000167280, ENSG00000167543, ENSG00000108846, ENSG00000006025, ENSG00000157637, ENSG00000013306, ENSG00000108840, ENSG00000169738, ENSG00000068079, ENSG00000141577, ENSG00000215769, ENSG00000169733, ENSG00000132530, ENSG00000213859, ENSG00000181885, ENSG00000108799	1821	2175	43203	1.7016463102880193	2.9487079444834308E-9	9.829026481611436E-10	9.56940970908704E-8
CHROMOSOME	22	91	4.866310160427807	1.4333861086690258E-10	ENSG00000205593, ENSG00000025708, ENSG00000128342, ENSG00000183506, ENSG00000100034, ENSG00000184208, ENSG00000128185, ENSG00000205643, ENSG00000159958, ENSG00000128298, ENSG00000188064, ENSG00000185252, ENSG00000099917, ENSG00000133477, ENSG00000183963, ENSG00000128346, ENSG00000128309, ENSG00000069998, ENSG00000205702, ENSG00000198792, ENSG00000100376, ENSG00000100379, ENSG00000099899, ENSG00000183597, ENSG00000099910, ENSG00000184164, ENSG00000100239, ENSG00000184470, ENSG00000130489, ENSG00000133460, ENSG00000099904, ENSG00000189306, ENSG00000100300, ENSG00000133466, ENSG00000184436, ENSG00000129968, ENSG00000128335, ENSG00000100284, ENSG00000099949, ENSG00000099999, ENSG00000100344, ENSG00000100307, ENSG00000100084, ENSG00000025770, ENSG00000100083, ENSG00000100288, ENSG00000075234, ENSG00000100058, ENSG00000205560, ENSG00000099889, ENSG00000100056, ENSG00000100124, ENSG00000100151, ENSG00000100299, ENSG00000100416, ENSG00000182944, ENSG00000100156, ENSG00000100359, ENSG00000100417, ENSG00000100297, ENSG00000198089, ENSG00000100197, ENSG00000100258, ENSG00000185133, ENSG00000070371, ENSG00000198355, ENSG00000187045, ENSG00000213923, ENSG00000100068, ENSG00000100360, ENSG00000188130, ENSG00000100116, ENSG00000187051, ENSG00000099974, ENSG00000100065, ENSG00000128191, ENSG00000128311, ENSG00000100023, ENSG00000185838, ENSG00000100162, ENSG00000100321, ENSG00000093010, ENSG00000100324, ENSG00000100429, ENSG00000183773, ENSG00000073169, ENSG00000184381, ENSG00000128159, ENSG00000185386, ENSG00000100060, ENSG00000215012, ENSG00000100263	1821	1043	43203	2.0699556626825735	3.583464081025056E-9	8.958660480118397E-10	1.162937635079686E-7
CHROMOSOME	11	148	7.914438502673797	5.214658118404436E-6	ENSG00000172663, ENSG00000176340, ENSG00000167985, ENSG00000186166, ENSG00000181830, ENSG00000110074, ENSG00000173992, ENSG00000166436, ENSG00000165912, ENSG00000167987, ENSG00000177595, ENSG00000173039, ENSG00000171219, ENSG00000184545, ENSG00000165905, ENSG00000172375, ENSG00000168071, ENSG00000110455, ENSG00000204922, ENSG00000166441, ENSG00000054967, ENSG00000166793, ENSG00000187486, ENSG00000132740, ENSG00000133895, ENSG00000184363, ENSG00000149476, ENSG00000110651, ENSG00000177963, ENSG00000197847, ENSG00000115325, ENSG00000168056, ENSG00000177105, ENSG00000177106, ENSG00000132254, ENSG00000110274, ENSG00000183378, ENSG00000110711, ENSG00000173486, ENSG00000149483, ENSG00000181264, ENSG00000214756, ENSG00000177042, ENSG00000149798, ENSG00000162231, ENSG00000167799, ENSG00000177666, ENSG00000166394, ENSG00000149809, ENSG00000149806, ENSG00000172638, ENSG00000167792, ENSG00000175573, ENSG00000134780, ENSG00000168067, ENSG00000174744, ENSG00000221968, ENSG00000162194, ENSG00000197136, ENSG00000134574, ENSG00000149591, ENSG00000185475, ENSG00000137496, ENSG00000149781, ENSG00000149716, ENSG00000161328, ENSG00000023191, ENSG00000068971, ENSG00000172830, ENSG00000165915, ENSG00000149499, ENSG00000110719, ENSG00000162144, ENSG00000110717, ENSG00000129749, ENSG00000137497, ENSG00000168061, ENSG00000185670, ENSG00000006118, ENSG00000051009, ENSG00000173327, ENSG00000149016, ENSG00000142082, ENSG00000174996, ENSG00000172273, ENSG00000005801, ENSG00000174791, ENSG00000177685, ENSG00000172613, ENSG00000214063, ENSG00000172818, ENSG00000174915, ENSG00000182208, ENSG00000172890, ENSG00000198242, ENSG00000177030, ENSG00000099849, ENSG00000149761, ENSG00000142186, ENSG00000211450, ENSG00000110697, ENSG00000174669, ENSG00000142102, ENSG00000162227, ENSG00000186635, ENSG00000173264, ENSG00000084207, ENSG00000175505, ENSG00000185101, ENSG00000185187, ENSG00000110583, ENSG00000120458, ENSG00000165458, ENSG00000110237, ENSG00000175482, ENSG00000173442, ENSG00000154134, ENSG00000019144, ENSG00000213465, ENSG00000137700, ENSG00000185085, ENSG00000177954, ENSG00000172732, ENSG00000175634, ENSG00000174871, ENSG00000168010, ENSG00000110025, ENSG00000149541, ENSG00000177951, ENSG00000121680, ENSG00000173153, ENSG00000160613, ENSG00000173715, ENSG00000149091, ENSG00000173456, ENSG00000172932, ENSG00000110171, ENSG00000179532, ENSG00000110446, ENSG00000173653, ENSG00000177225, ENSG00000110011, ENSG00000162341, ENSG00000184281, ENSG00000175213, ENSG00000172922, ENSG00000175220, ENSG00000149743	1821	2418	43203	1.4521429749149364	1.303582954889082E-4	2.6073018666972203E-5	0.004230689817674715
CHROMOSOME	1	204	10.909090909090908	0.005020980462715551	ENSG00000198520, ENSG00000160685, ENSG00000020129, ENSG00000124614, ENSG00000160781, ENSG00000160058, ENSG00000163472, ENSG00000160055, ENSG00000121310, ENSG00000117266, ENSG00000134419, ENSG00000178096, ENSG00000080947, ENSG00000204160, ENSG00000159588, ENSG00000126088, ENSG00000134222, ENSG00000183386, ENSG00000163463, ENSG00000163462, ENSG00000154222, ENSG00000197530, ENSG00000116396, ENSG00000129968, ENSG00000084652, ENSG00000143537, ENSG00000160072, ENSG00000132716, ENSG00000143434, ENSG00000196182, ENSG00000127054, ENSG00000175137, ENSG00000117640, ENSG00000132879, ENSG00000069812, ENSG00000049089, ENSG00000186056, ENSG00000074964, ENSG00000130762, ENSG00000203697, ENSG00000163344, ENSG00000169972, ENSG00000157873, ENSG00000163348, ENSG00000132781, ENSG00000160789, ENSG00000082512, ENSG00000116525, ENSG00000177674, ENSG00000116663, ENSG00000162390, ENSG00000158825, ENSG00000162910, ENSG00000014914, ENSG00000154358, ENSG00000143382, ENSG00000189410, ENSG00000011009, ENSG00000173846, ENSG00000198952, ENSG00000159450, ENSG00000181873, ENSG00000197989, ENSG00000116213, ENSG00000175147, ENSG00000182109, ENSG00000169914, ENSG00000215845, ENSG00000143442, ENSG00000143393, ENSG00000143258, ENSG00000162522, ENSG00000116809, ENSG00000186501, ENSG00000121900, ENSG00000158292, ENSG00000011021, ENSG00000117480, ENSG00000142910, ENSG00000142686, ENSG00000197587, ENSG00000055732, ENSG00000189339, ENSG00000198837, ENSG00000174307, ENSG00000041988, ENSG00000198198, ENSG00000143774, ENSG00000079277, ENSG00000159423, ENSG00000085998, ENSG00000187608, ENSG00000214193, ENSG00000142675, ENSG00000143178, ENSG00000007968, ENSG00000143761, ENSG00000180098, ENSG00000200087, ENSG00000142632, ENSG00000176444, ENSG00000149527, ENSG00000215908, ENSG00000178028, ENSG00000040487, ENSG00000116337, ENSG00000162650, ENSG00000215788, ENSG00000058453, ENSG00000117448, ENSG00000168528, ENSG00000178821, ENSG00000117308, ENSG00000008128, ENSG00000162571, ENSG00000111669, ENSG00000142751, ENSG00000116863, ENSG00000053371, ENSG00000158286, ENSG00000085552, ENSG00000143842, ENSG00000162836, ENSG00000154370, ENSG00000186517, ENSG00000143847, ENSG00000162576, ENSG00000171790, ENSG00000158747, ENSG00000132680, ENSG00000143224, ENSG00000183615, ENSG00000155366, ENSG00000179178, ENSG00000169598, ENSG00000155367, ENSG00000116857, ENSG00000059588, ENSG00000155363, ENSG00000132128, ENSG00000142669, ENSG00000142765, ENSG00000162585, ENSG00000158062, ENSG00000159214, ENSG00000142961, ENSG00000204859, ENSG00000142733, ENSG00000116786, ENSG00000117419, ENSG00000162591, ENSG00000116883, ENSG00000221978, ENSG00000134668, ENSG00000162714, ENSG00000143303, ENSG00000213057, ENSG00000171163, ENSG00000069424, ENSG00000117410, ENSG00000116670, ENSG00000163050, ENSG00000169231, ENSG00000117407, ENSG00000117408, ENSG00000187583, ENSG00000213064, ENSG00000086015, ENSG00000116586, ENSG00000197785, ENSG00000178922, ENSG00000143630, ENSG00000134253, ENSG00000158793, ENSG00000198625, ENSG00000160741, ENSG00000187961, ENSG00000185596, ENSG00000169241, ENSG00000169242, ENSG00000131584, ENSG00000182749, ENSG00000160753, ENSG00000177954, ENSG00000182944, ENSG00000188206, ENSG00000187800, ENSG00000116691, ENSG00000131591, ENSG00000143811, ENSG00000164011, ENSG00000162482, ENSG00000142623, ENSG00000187017, ENSG00000183317, ENSG00000171680, ENSG00000117616, ENSG00000183856, ENSG00000160766, ENSG00000081692, ENSG00000158773, ENSG00000162729, ENSG00000009724, ENSG00000163874	1821	4050	43203	1.195030813350418	0.11824469941872162	0.020755036569057195	4.001627198875579
CHROMOSOME	20	62	3.3155080213903747	0.007052285648091291	ENSG00000215440, ENSG00000200087, ENSG00000080845, ENSG00000215305, ENSG00000198026, ENSG00000132793, ENSG00000101199, ENSG00000198276, ENSG00000184402, ENSG00000088305, ENSG00000125843, ENSG00000171858, ENSG00000101224, ENSG00000101019, ENSG00000174365, ENSG00000125846, ENSG00000088836, ENSG00000196756, ENSG00000130684, ENSG00000101473, ENSG00000169715, ENSG00000130701, ENSG00000101181, ENSG00000124224, ENSG00000101004, ENSG00000125995, ENSG00000124222, ENSG00000060491, ENSG00000125898, ENSG00000101104, ENSG00000130590, ENSG00000131067, ENSG00000080189, ENSG00000101213, ENSG00000088899, ENSG00000197122, ENSG00000196209, ENSG00000171700, ENSG00000125967, ENSG00000197114, ENSG00000125826, ENSG00000101412, ENSG00000197586, ENSG00000100982, ENSG00000101246, ENSG00000030110, ENSG00000203896, ENSG00000197457, ENSG00000196476, ENSG00000101298, ENSG00000124243, ENSG00000125520, ENSG00000196700, ENSG00000124181, ENSG00000124143, ENSG00000166619, ENSG00000132635, ENSG00000101255, ENSG00000124104, ENSG00000026036, ENSG00000125877, ENSG00000088340	1821	1045	43203	1.4076003247597804	0.16216304659523262	0.024959203458819745	5.580207865583553
CHROMOSOME	9	83	4.438502673796791	0.252545677909756	ENSG00000148384, ENSG00000198853, ENSG00000054179, ENSG00000164970, ENSG00000171097, ENSG00000148343, ENSG00000095397, ENSG00000188747, ENSG00000156345, ENSG00000221829, ENSG00000160446, ENSG00000165233, ENSG00000148341, ENSG00000167123, ENSG00000159069, ENSG00000131669, ENSG00000148337, ENSG00000186193, ENSG00000175787, ENSG00000148334, ENSG00000198917, ENSG00000137135, ENSG00000106991, ENSG00000106992, ENSG00000160326, ENSG00000160325, ENSG00000188566, ENSG00000136840, ENSG00000165802, ENSG00000213930, ENSG00000169692, ENSG00000148331, ENSG00000197191, ENSG00000005238, ENSG00000176248, ENSG00000185596, ENSG00000184925, ENSG00000137100, ENSG00000196642, ENSG00000176978, ENSG00000197728, ENSG00000148297, ENSG00000165688, ENSG00000196739, ENSG00000130714, ENSG00000119431, ENSG00000165684, ENSG00000148290, ENSG00000136856, ENSG00000119403, ENSG00000119333, ENSG00000184995, ENSG00000176058, ENSG00000130255, ENSG00000137106, ENSG00000148362, ENSG00000127191, ENSG00000177239, ENSG00000160271, ENSG00000188986, ENSG00000148356, ENSG00000070610, ENSG00000165724, ENSG00000127084, ENSG00000187609, ENSG00000197355, ENSG00000175164, ENSG00000107140, ENSG00000157303, ENSG00000160408, ENSG00000054148, ENSG00000203993, ENSG00000204054, ENSG00000167113, ENSG00000107281, ENSG00000164967, ENSG00000177943, ENSG00000197070, ENSG00000107331, ENSG00000095383, ENSG00000171159, ENSG00000148399, ENSG00000198467	1821	1798	43203	1.0951972995805335	0.9993087797741042	0.5973274224279979	90.57320270407601
CHROMOSOME	3	86	4.598930481283422	0.7990716792658469	ENSG00000185485, ENSG00000206530, ENSG00000168273, ENSG00000164081, ENSG00000171121, ENSG00000114268, ENSG00000178252, ENSG00000124614, ENSG00000187492, ENSG00000188315, ENSG00000158163, ENSG00000164048, ENSG00000114779, ENSG00000163882, ENSG00000214160, ENSG00000213689, ENSG00000180385, ENSG00000119227, ENSG00000114770, ENSG00000164088, ENSG00000145107, ENSG00000163701, ENSG00000177352, ENSG00000198242, ENSG00000004534, ENSG00000173531, ENSG00000003756, ENSG00000168237, ENSG00000175182, ENSG00000070476, ENSG00000161202, ENSG00000161204, ENSG00000126062, ENSG00000012171, ENSG00000114735, ENSG00000213672, ENSG00000114737, ENSG00000114026, ENSG00000145113, ENSG00000151967, ENSG00000145014, ENSG00000164078, ENSG00000061938, ENSG00000178467, ENSG00000131368, ENSG00000163517, ENSG00000090097, ENSG00000206567, ENSG00000114626, ENSG00000169964, ENSG00000163930, ENSG00000163931, ENSG00000173540, ENSG00000177479, ENSG00000213139, ENSG00000010322, ENSG00000163660, ENSG00000144559, ENSG00000114388, ENSG00000156990, ENSG00000206262, ENSG00000164068, ENSG00000164050, ENSG00000068028, ENSG00000182179, ENSG00000172888, ENSG00000113971, ENSG00000114812, ENSG00000178038, ENSG00000068745, ENSG00000163832, ENSG00000163870, ENSG00000114853, ENSG00000060971, ENSG00000180834, ENSG00000206573, ENSG00000114378, ENSG00000114857, ENSG00000164054, ENSG00000145020, ENSG00000162244, ENSG00000114859, ENSG00000214021, ENSG00000114270, ENSG00000168268, ENSG00000161267	1821	2189	43203	0.9320874252948131	1.0	0.9884121408616036	99.9997784776006
CHROMOSOME	12	77	4.117647058823529	0.8676818112686973	ENSG00000150967, ENSG00000139631, ENSG00000167535, ENSG00000139637, ENSG00000139636, ENSG00000071082, ENSG00000176383, ENSG00000196668, ENSG00000184209, ENSG00000185163, ENSG00000214826, ENSG00000139190, ENSG00000198324, ENSG00000178498, ENSG00000123415, ENSG00000177169, ENSG00000187778, ENSG00000111321, ENSG00000139625, ENSG00000188735, ENSG00000212694, ENSG00000174456, ENSG00000110844, ENSG00000135519, ENSG00000111653, ENSG00000139182, ENSG00000167566, ENSG00000171823, ENSG00000135480, ENSG00000135451, ENSG00000166987, ENSG00000110801, ENSG00000166888, ENSG00000166886, ENSG00000111669, ENSG00000110888, ENSG00000139410, ENSG00000079337, ENSG00000175727, ENSG00000197728, ENSG00000111319, ENSG00000186815, ENSG00000111665, ENSG00000123349, ENSG00000111664, ENSG00000065357, ENSG00000177954, ENSG00000134285, ENSG00000184271, ENSG00000205426, ENSG00000198040, ENSG00000090975, ENSG00000139546, ENSG00000111679, ENSG00000177192, ENSG00000111678, ENSG00000013573, ENSG00000135119, ENSG00000094914, ENSG00000170523, ENSG00000111671, ENSG00000111203, ENSG00000111199, ENSG00000178449, ENSG00000111676, ENSG00000111057, ENSG00000111674, ENSG00000111344, ENSG00000110921, ENSG00000139405, ENSG00000050426, ENSG00000177084, ENSG00000135437, ENSG00000174233, ENSG00000061273, ENSG00000162244, ENSG00000139266	1821	2025	43203	0.9021311041959037	1.0	0.9936313282069952	99.99999252684935
