Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
CHROMOSOME	5	161	8.143651997976733	1.875214156975591E-14	ENSG00000151304, ENSG00000113583, ENSG00000155545, ENSG00000113318, ENSG00000113384, ENSG00000113448, ENSG00000164332, ENSG00000145907, ENSG00000164338, ENSG00000039560, ENSG00000113441, ENSG00000013561, ENSG00000168724, ENSG00000145725, ENSG00000174695, ENSG00000072571, ENSG00000037749, ENSG00000064651, ENSG00000113387, ENSG00000186687, ENSG00000113580, ENSG00000213949, ENSG00000113594, ENSG00000113595, ENSG00000072364, ENSG00000113391, ENSG00000145675, ENSG00000158985, ENSG00000113658, ENSG00000164346, ENSG00000170606, ENSG00000131437, ENSG00000164327, ENSG00000164329, ENSG00000113300, ENSG00000145734, ENSG00000129595, ENSG00000171530, ENSG00000165671, ENSG00000154124, ENSG00000128989, ENSG00000132356, ENSG00000112852, ENSG00000112851, ENSG00000205765, ENSG00000112996, ENSG00000119048, ENSG00000145781, ENSG00000181904, ENSG00000113569, ENSG00000151422, ENSG00000178996, ENSG00000055147, ENSG00000181163, ENSG00000113460, ENSG00000068796, ENSG00000171444, ENSG00000176055, ENSG00000153044, ENSG00000151292, ENSG00000038274, ENSG00000164466, ENSG00000153113, ENSG00000040275, ENSG00000120137, ENSG00000083312, ENSG00000164209, ENSG00000164308, ENSG00000145715, ENSG00000164252, ENSG00000133302, ENSG00000198780, ENSG00000151388, ENSG00000015479, ENSG00000085231, ENSG00000164151, ENSG00000113742, ENSG00000164187, ENSG00000087338, ENSG00000177879, ENSG00000169570, ENSG00000067248, ENSG00000145817, ENSG00000085365, ENSG00000131711, ENSG00000174132, ENSG00000131507, ENSG00000185305, ENSG00000134352, ENSG00000134970, ENSG00000113161, ENSG00000113163, ENSG00000145623, ENSG00000164244, ENSG00000112972, ENSG00000086200, ENSG00000047188, ENSG00000132842, ENSG00000164181, ENSG00000112874, ENSG00000164182, ENSG00000198108, ENSG00000113615, ENSG00000153922, ENSG00000039319, ENSG00000205302, ENSG00000153037, ENSG00000145833, ENSG00000120705, ENSG00000131504, ENSG00000039123, ENSG00000164609, ENSG00000134982, ENSG00000038427, ENSG00000134987, ENSG00000198961, ENSG00000145779, ENSG00000113494, ENSG00000164171, ENSG00000177034, ENSG00000164902, ENSG00000188725, ENSG00000153006, ENSG00000176018, ENSG00000172869, ENSG00000153140, ENSG00000197603, ENSG00000155850, ENSG00000145743, ENSG00000145740, ENSG00000217128, ENSG00000056097, ENSG00000122008, ENSG00000127022, ENSG00000152413, ENSG00000168944, ENSG00000157107, ENSG00000091009, ENSG00000112893, ENSG00000164221, ENSG00000113328, ENSG00000123219, ENSG00000164197, ENSG00000113638, ENSG00000153015, ENSG00000123213, ENSG00000086189, ENSG00000168685, ENSG00000152377, ENSG00000152620, ENSG00000185129, ENSG00000155329, ENSG00000164291, ENSG00000150712, ENSG00000164292, ENSG00000164219, ENSG00000164190, ENSG00000152422, ENSG00000113522, ENSG00000118985, ENSG00000164211	1959	1886	43203	1.8826242856609272	4.690692279041286E-13	4.690692279041286E-13	1.5221157667610896E-11
CHROMOSOME	2	205	10.369246332827517	1.2907014429871149E-11	ENSG00000171055, ENSG00000123983, ENSG00000138385, ENSG00000144224, ENSG00000144228, ENSG00000115415, ENSG00000153250, ENSG00000134318, ENSG00000115419, ENSG00000134313, ENSG00000116120, ENSG00000119878, ENSG00000138376, ENSG00000116117, ENSG00000168280, ENSG00000124831, ENSG00000128708, ENSG00000005436, ENSG00000139233, ENSG00000143942, ENSG00000128989, ENSG00000115504, ENSG00000119865, ENSG00000198406, ENSG00000169967, ENSG00000186063, ENSG00000197121, ENSG00000173166, ENSG00000095002, ENSG00000115267, ENSG00000151694, ENSG00000143933, ENSG00000204186, ENSG00000151690, ENSG00000138398, ENSG00000173960, ENSG00000081320, ENSG00000079246, ENSG00000121964, ENSG00000075292, ENSG00000178385, ENSG00000144036, ENSG00000143924, ENSG00000071054, ENSG00000141429, ENSG00000115145, ENSG00000170860, ENSG00000087338, ENSG00000115866, ENSG00000198586, ENSG00000115750, ENSG00000170340, ENSG00000143797, ENSG00000158417, ENSG00000153214, ENSG00000135999, ENSG00000196950, ENSG00000169607, ENSG00000197713, ENSG00000003436, ENSG00000088205, ENSG00000169604, ENSG00000136731, ENSG00000115159, ENSG00000036257, ENSG00000115540, ENSG00000068912, ENSG00000144306, ENSG00000115053, ENSG00000077232, ENSG00000115541, ENSG00000153207, ENSG00000119820, ENSG00000115355, ENSG00000082898, ENSG00000080345, ENSG00000153201, ENSG00000115364, ENSG00000175582, ENSG00000157827, ENSG00000178662, ENSG00000172086, ENSG00000115020, ENSG00000178074, ENSG00000162924, ENSG00000116005, ENSG00000071967, ENSG00000162927, ENSG00000143970, ENSG00000162928, ENSG00000115365, ENSG00000162929, ENSG00000143971, ENSG00000065548, ENSG00000144320, ENSG00000115993, ENSG00000144426, ENSG00000144278, ENSG00000115561, ENSG00000115761, ENSG00000115232, ENSG00000119844, ENSG00000172071, ENSG00000084733, ENSG00000187514, ENSG00000163535, ENSG00000152056, ENSG00000114978, ENSG00000162959, ENSG00000138448, ENSG00000163006, ENSG00000115306, ENSG00000198130, ENSG00000138035, ENSG00000138032, ENSG00000153827, ENSG00000204217, ENSG00000155744, ENSG00000152253, ENSG00000138433, ENSG00000163510, ENSG00000172954, ENSG00000079156, ENSG00000170802, ENSG00000169756, ENSG00000163811, ENSG00000172845, ENSG00000115963, ENSG00000198668, ENSG00000115825, ENSG00000079150, ENSG00000138430, ENSG00000115966, ENSG00000091409, ENSG00000204104, ENSG00000163029, ENSG00000169764, ENSG00000125629, ENSG00000138071, ENSG00000168385, ENSG00000055332, ENSG00000143889, ENSG00000153107, ENSG00000115091, ENSG00000138078, ENSG00000152133, ENSG00000162980, ENSG00000181163, ENSG00000144451, ENSG00000138018, ENSG00000124383, ENSG00000124380, ENSG00000144357, ENSG00000184898, ENSG00000138411, ENSG00000115464, ENSG00000115084, ENSG00000138081, ENSG00000189362, ENSG00000135968, ENSG00000221823, ENSG00000186522, ENSG00000021574, ENSG00000115947, ENSG00000144369, ENSG00000180398, ENSG00000115942, ENSG00000144366, ENSG00000079785, ENSG00000119787, ENSG00000138095, ENSG00000088179, ENSG00000116030, ENSG00000118260, ENSG00000061676, ENSG00000135913, ENSG00000152291, ENSG00000123609, ENSG00000114933, ENSG00000018510, ENSG00000030419, ENSG00000055917, ENSG00000119778, ENSG00000152683, ENSG00000198380, ENSG00000071073, ENSG00000177917, ENSG00000213639, ENSG00000197223, ENSG00000162999, ENSG00000123607, ENSG00000170144, ENSG00000075568, ENSG00000082153, ENSG00000055044, ENSG00000172292, ENSG00000115816, ENSG00000198399, ENSG00000123636, ENSG00000196504, ENSG00000091436, ENSG00000136536, ENSG00000169679, ENSG00000116161, ENSG00000170417, ENSG00000115808, ENSG00000171150, ENSG00000115904	1959	2805	43203	1.6117603382714636	3.226752198770555E-10	1.6133760993852775E-10	1.0471745692797185E-8
CHROMOSOME	3	169	8.548305513404147	1.6226416464746597E-11	ENSG00000163781, ENSG00000144747, ENSG00000144909, ENSG00000154310, ENSG00000188313, ENSG00000172667, ENSG00000071794, ENSG00000144724, ENSG00000168827, ENSG00000144746, ENSG00000174891, ENSG00000138246, ENSG00000073711, ENSG00000163602, ENSG00000182923, ENSG00000177311, ENSG00000131375, ENSG00000173890, ENSG00000163681, ENSG00000181722, ENSG00000043093, ENSG00000174953, ENSG00000114573, ENSG00000144674, ENSG00000169855, ENSG00000122068, ENSG00000163320, ENSG00000173905, ENSG00000163512, ENSG00000163904, ENSG00000044524, ENSG00000163807, ENSG00000163808, ENSG00000175105, ENSG00000080200, ENSG00000163605, ENSG00000160124, ENSG00000114904, ENSG00000033867, ENSG00000114450, ENSG00000180370, ENSG00000179152, ENSG00000173889, ENSG00000163714, ENSG00000163507, ENSG00000018408, ENSG00000163590, ENSG00000114251, ENSG00000172986, ENSG00000198406, ENSG00000169760, ENSG00000114346, ENSG00000168386, ENSG00000120742, ENSG00000154174, ENSG00000163818, ENSG00000136603, ENSG00000114520, ENSG00000196549, ENSG00000206560, ENSG00000179021, ENSG00000114480, ENSG00000114200, ENSG00000082996, ENSG00000177707, ENSG00000196083, ENSG00000114209, ENSG00000114331, ENSG00000163960, ENSG00000114279, ENSG00000163964, ENSG00000163634, ENSG00000174839, ENSG00000178694, ENSG00000181449, ENSG00000182247, ENSG00000134108, ENSG00000177565, ENSG00000082701, ENSG00000174840, ENSG00000175066, ENSG00000176597, ENSG00000174738, ENSG00000171109, ENSG00000175054, ENSG00000057019, ENSG00000188167, ENSG00000163539, ENSG00000136521, ENSG00000163430, ENSG00000170860, ENSG00000186432, ENSG00000114120, ENSG00000091986, ENSG00000036054, ENSG00000152952, ENSG00000114127, ENSG00000136068, ENSG00000163946, ENSG00000091317, ENSG00000017260, ENSG00000206538, ENSG00000144635, ENSG00000051382, ENSG00000163840, ENSG00000114744, ENSG00000144815, ENSG00000163848, ENSG00000179295, ENSG00000113810, ENSG00000181467, ENSG00000114416, ENSG00000163428, ENSG00000152492, ENSG00000121879, ENSG00000172340, ENSG00000211456, ENSG00000152601, ENSG00000163655, ENSG00000163755, ENSG00000133657, ENSG00000169379, ENSG00000163939, ENSG00000163659, ENSG00000075420, ENSG00000206527, ENSG00000163558, ENSG00000182504, ENSG00000082153, ENSG00000145012, ENSG00000144824, ENSG00000058063, ENSG00000158092, ENSG00000080822, ENSG00000121579, ENSG00000185621, ENSG00000181744, ENSG00000114030, ENSG00000118007, ENSG00000163412, ENSG00000114302, ENSG00000114861, ENSG00000172939, ENSG00000144935, ENSG00000114107, ENSG00000198836, ENSG00000170017, ENSG00000138468, ENSG00000129810, ENSG00000163527, ENSG00000174579, ENSG00000169251, ENSG00000157500, ENSG00000196776, ENSG00000081154, ENSG00000091527, ENSG00000114439, ENSG00000181555, ENSG00000080819, ENSG00000184203, ENSG00000144840, ENSG00000187098, ENSG00000176542, ENSG00000169359, ENSG00000083937, ENSG00000144848, ENSG00000077097, ENSG00000163378, ENSG00000008952, ENSG00000138459	1959	2189	43203	1.7026305129993557	4.056616154102244E-10	1.3522050146264064E-10	1.3164891399242151E-8
CHROMOSOME	4	129	6.525037936267071	3.3994103988873375E-8	ENSG00000109189, ENSG00000137628, ENSG00000083896, ENSG00000138757, ENSG00000138758, ENSG00000138756, ENSG00000163281, ENSG00000109586, ENSG00000151247, ENSG00000174607, ENSG00000185774, ENSG00000163288, ENSG00000164142, ENSG00000109787, ENSG00000078140, ENSG00000181826, ENSG00000150625, ENSG00000150627, ENSG00000164144, ENSG00000138660, ENSG00000170088, ENSG00000164070, ENSG00000164342, ENSG00000164323, ENSG00000129128, ENSG00000145349, ENSG00000163291, ENSG00000138767, ENSG00000145241, ENSG00000138768, ENSG00000163322, ENSG00000109790, ENSG00000038210, ENSG00000138760, ENSG00000138668, ENSG00000164134, ENSG00000164073, ENSG00000084093, ENSG00000186063, ENSG00000169116, ENSG00000138738, ENSG00000163624, ENSG00000137601, ENSG00000109133, ENSG00000035928, ENSG00000109332, ENSG00000164167, ENSG00000164168, ENSG00000145439, ENSG00000164163, ENSG00000164164, ENSG00000164066, ENSG00000198301, ENSG00000164161, ENSG00000078177, ENSG00000109534, ENSG00000145365, ENSG00000147601, ENSG00000164305, ENSG00000164306, ENSG00000145220, ENSG00000151806, ENSG00000056050, ENSG00000178177, ENSG00000138686, ENSG00000138685, ENSG00000218283, ENSG00000075539, ENSG00000138688, ENSG00000128059, ENSG00000168769, ENSG00000198589, ENSG00000109686, ENSG00000145414, ENSG00000109738, ENSG00000145216, ENSG00000198948, ENSG00000163743, ENSG00000179387, ENSG00000164105, ENSG00000145388, ENSG00000174796, ENSG00000174799, ENSG00000164109, ENSG00000138821, ENSG00000205208, ENSG00000151718, ENSG00000172007, ENSG00000145391, ENSG00000179295, ENSG00000164031, ENSG00000134852, ENSG00000174720, ENSG00000153130, ENSG00000164038, ENSG00000153132, ENSG00000138814, ENSG00000178163, ENSG00000189308, ENSG00000138778, ENSG00000173542, ENSG00000164022, ENSG00000151466, ENSG00000153147, ENSG00000164023, ENSG00000137449, ENSG00000033178, ENSG00000163069, ENSG00000145332, ENSG00000145331, ENSG00000109171, ENSG00000109814, ENSG00000198498, ENSG00000123739, ENSG00000138709, ENSG00000121892, ENSG00000170871, ENSG00000168214, ENSG00000109572, ENSG00000185787, ENSG00000052802, ENSG00000014824, ENSG00000174780, ENSG00000138780, ENSG00000109805, ENSG00000090989, ENSG00000163104, ENSG00000164118, ENSG00000171497, ENSG00000164114	1959	1724	43203	1.6501822749189	8.498522526823038E-7	2.1246313086642488E-7	2.758017040305205E-5
CHROMOSOME	13	63	3.1866464339908953	1.4678597169420275E-4	ENSG00000152193, ENSG00000139734, ENSG00000165572, ENSG00000136167, ENSG00000175198, ENSG00000083544, ENSG00000083642, ENSG00000125304, ENSG00000180776, ENSG00000102595, ENSG00000102699, ENSG00000127870, ENSG00000125249, ENSG00000189403, ENSG00000165416, ENSG00000088451, ENSG00000136156, ENSG00000118922, ENSG00000083535, ENSG00000102471, ENSG00000125257, ENSG00000023516, ENSG00000132932, ENSG00000120686, ENSG00000102753, ENSG00000187676, ENSG00000120688, ENSG00000139618, ENSG00000123200, ENSG00000136143, ENSG00000139793, ENSG00000151846, ENSG00000139826, ENSG00000132963, ENSG00000136108, ENSG00000120690, ENSG00000083520, ENSG00000136104, ENSG00000121741, ENSG00000152749, ENSG00000102781, ENSG00000133103, ENSG00000174405, ENSG00000120694, ENSG00000065150, ENSG00000122042, ENSG00000165487, ENSG00000183098, ENSG00000102452, ENSG00000147601, ENSG00000204899, ENSG00000178695, ENSG00000102531, ENSG00000174032, ENSG00000102580, ENSG00000133119, ENSG00000005812, ENSG00000005810, ENSG00000132953, ENSG00000133083, ENSG00000133114, ENSG00000139687, ENSG00000139505	1959	843	43203	1.6481337162725556	0.0036631927241762563	7.337144288802611E-4	0.11902857435743819
CHROMOSOME	12	127	6.423874557410217	2.1350445129480154E-4	ENSG00000133687, ENSG00000166130, ENSG00000185480, ENSG00000050405, ENSG00000118600, ENSG00000120805, ENSG00000086598, ENSG00000102189, ENSG00000136021, ENSG00000161813, ENSG00000111269, ENSG00000198707, ENSG00000111707, ENSG00000087502, ENSG00000111790, ENSG00000166598, ENSG00000135655, ENSG00000073614, ENSG00000123066, ENSG00000164346, ENSG00000139233, ENSG00000051825, ENSG00000127314, ENSG00000175548, ENSG00000111615, ENSG00000123268, ENSG00000091039, ENSG00000111711, ENSG00000174106, ENSG00000187109, ENSG00000123104, ENSG00000151229, ENSG00000121749, ENSG00000111726, ENSG00000122970, ENSG00000180263, ENSG00000123106, ENSG00000004700, ENSG00000139350, ENSG00000049130, ENSG00000179941, ENSG00000177119, ENSG00000139354, ENSG00000111300, ENSG00000111530, ENSG00000111670, ENSG00000120837, ENSG00000075089, ENSG00000111196, ENSG00000151239, ENSG00000111731, ENSG00000151233, ENSG00000173598, ENSG00000151135, ENSG00000079387, ENSG00000152944, ENSG00000130779, ENSG00000121350, ENSG00000189079, ENSG00000139154, ENSG00000139291, ENSG00000196850, ENSG00000139323, ENSG00000139324, ENSG00000133641, ENSG00000111647, ENSG00000047621, ENSG00000139726, ENSG00000179295, ENSG00000111224, ENSG00000100815, ENSG00000151491, ENSG00000136052, ENSG00000211455, ENSG00000136051, ENSG00000172340, ENSG00000139132, ENSG00000139133, ENSG00000110841, ENSG00000174718, ENSG00000005175, ENSG00000139146, ENSG00000183735, ENSG00000129315, ENSG00000120868, ENSG00000174099, ENSG00000070961, ENSG00000129317, ENSG00000111145, ENSG00000111358, ENSG00000111832, ENSG00000111142, ENSG00000166881, ENSG00000123094, ENSG00000070018, ENSG00000123096, ENSG00000092201, ENSG00000127328, ENSG00000139278, ENSG00000080371, ENSG00000139697, ENSG00000110958, ENSG00000084463, ENSG00000111247, ENSG00000135090, ENSG00000133704, ENSG00000135679, ENSG00000094916, ENSG00000177425, ENSG00000133703, ENSG00000134532, ENSG00000173451, ENSG00000028203, ENSG00000139116, ENSG00000171681, ENSG00000120800, ENSG00000120802, ENSG00000139163, ENSG00000166225, ENSG00000139168, ENSG00000127337, ENSG00000133773, ENSG00000058272, ENSG00000139218, ENSG00000064102, ENSG00000187514, ENSG00000078237	1959	2025	43203	1.3831145898323027	0.005323958395453854	8.893011979914656E-4	0.1730894384356696
CHROMOSOME	8	100	5.058168942842691	0.0016124996933528212	ENSG00000169139, ENSG00000196922, ENSG00000175895, ENSG00000168078, ENSG00000104643, ENSG00000104388, ENSG00000104442, ENSG00000164930, ENSG00000151247, ENSG00000104447, ENSG00000164933, ENSG00000104219, ENSG00000183808, ENSG00000154582, ENSG00000171320, ENSG00000168615, ENSG00000164830, ENSG00000198791, ENSG00000104432, ENSG00000164944, ENSG00000147421, ENSG00000104231, ENSG00000104626, ENSG00000120925, ENSG00000104320, ENSG00000123908, ENSG00000205189, ENSG00000147419, ENSG00000104427, ENSG00000181163, ENSG00000147687, ENSG00000156802, ENSG00000164951, ENSG00000078674, ENSG00000175073, ENSG00000104497, ENSG00000153310, ENSG00000147601, ENSG00000172167, ENSG00000034677, ENSG00000154188, ENSG00000089048, ENSG00000104412, ENSG00000164961, ENSG00000133739, ENSG00000198363, ENSG00000147548, ENSG00000133731, ENSG00000155189, ENSG00000104549, ENSG00000104290, ENSG00000168172, ENSG00000040341, ENSG00000176853, ENSG00000185728, ENSG00000104343, ENSG00000147679, ENSG00000156162, ENSG00000156735, ENSG00000156011, ENSG00000120526, ENSG00000215114, ENSG00000120992, ENSG00000164754, ENSG00000131931, ENSG00000157168, ENSG00000164758, ENSG00000147669, ENSG00000137574, ENSG00000155097, ENSG00000164983, ENSG00000155100, ENSG00000104472, ENSG00000221914, ENSG00000165156, ENSG00000155096, ENSG00000066855, ENSG00000104331, ENSG00000140396, ENSG00000083168, ENSG00000184661, ENSG00000048392, ENSG00000066777, ENSG00000076554, ENSG00000132294, ENSG00000185900, ENSG00000104756, ENSG00000197275, ENSG00000023287, ENSG00000104660, ENSG00000129292, ENSG00000085719, ENSG00000064313, ENSG00000147649, ENSG00000156103, ENSG00000067167, ENSG00000205133, ENSG00000104450, ENSG00000147592, ENSG00000164924	1959	1615	43203	1.3655479117575944	0.03954200413139286	0.005746998070094933	1.300778621877663
CHROMOSOME	18	50	2.5290844714213456	0.002009958808931589	ENSG00000101624, ENSG00000141446, ENSG00000141447, ENSG00000166479, ENSG00000172466, ENSG00000166562, ENSG00000078043, ENSG00000082212, ENSG00000067900, ENSG00000141682, ENSG00000197563, ENSG00000101773, ENSG00000134049, ENSG00000168234, ENSG00000134758, ENSG00000119541, ENSG00000168461, ENSG00000119537, ENSG00000139146, ENSG00000085415, ENSG00000166845, ENSG00000154059, ENSG00000176105, ENSG00000175387, ENSG00000150636, ENSG00000141425, ENSG00000206418, ENSG00000046604, ENSG00000141424, ENSG00000074695, ENSG00000101745, ENSG00000206052, ENSG00000128791, ENSG00000101558, ENSG00000101557, ENSG00000153339, ENSG00000154839, ENSG00000101752, ENSG00000101596, ENSG00000147601, ENSG00000118276, ENSG00000080986, ENSG00000177150, ENSG00000144278, ENSG00000101654, ENSG00000196628, ENSG00000152240, ENSG00000152242, ENSG00000170677, ENSG00000141429, ENSG00000170558	1959	701	43203	1.5730098983512941	0.0490554614030253	0.006267717543021689	1.6191145102530946
CHROMOSOME	10	98	4.957005563985837	0.0044871421876317005	ENSG00000170759, ENSG00000152778, ENSG00000108064, ENSG00000165476, ENSG00000108061, ENSG00000156113, ENSG00000138190, ENSG00000065613, ENSG00000099246, ENSG00000122958, ENSG00000165669, ENSG00000165660, ENSG00000155640, ENSG00000165997, ENSG00000108055, ENSG00000119927, ENSG00000156671, ENSG00000198018, ENSG00000107625, ENSG00000067082, ENSG00000165322, ENSG00000156374, ENSG00000165650, ENSG00000165732, ENSG00000107949, ENSG00000119912, ENSG00000107560, ENSG00000169826, ENSG00000165832, ENSG00000095574, ENSG00000136754, ENSG00000181163, ENSG00000165312, ENSG00000108100, ENSG00000136758, ENSG00000151893, ENSG00000138182, ENSG00000138180, ENSG00000196177, ENSG00000119906, ENSG00000096717, ENSG00000107890, ENSG00000148730, ENSG00000099250, ENSG00000107897, ENSG00000165632, ENSG00000165630, ENSG00000203791, ENSG00000166275, ENSG00000077147, ENSG00000198060, ENSG00000062650, ENSG00000122884, ENSG00000107779, ENSG00000171988, ENSG00000150867, ENSG00000108021, ENSG00000171862, ENSG00000173848, ENSG00000107771, ENSG00000136738, ENSG00000108091, ENSG00000108094, ENSG00000196233, ENSG00000165813, ENSG00000197713, ENSG00000107863, ENSG00000107669, ENSG00000138138, ENSG00000180628, ENSG00000108010, ENSG00000138336, ENSG00000182010, ENSG00000197223, ENSG00000196865, ENSG00000156026, ENSG00000204130, ENSG00000198964, ENSG00000151151, ENSG00000177853, ENSG00000107798, ENSG00000072401, ENSG00000151461, ENSG00000148429, ENSG00000148516, ENSG00000015171, ENSG00000138160, ENSG00000107518, ENSG00000107651, ENSG00000108239, ENSG00000119953, ENSG00000148700, ENSG00000150093, ENSG00000185532, ENSG00000107643, ENSG00000057608, ENSG00000173145, ENSG00000107854	1959	1635	43203	1.321867082531342	0.10634098421891947	0.012414627024658342	3.582947495140809
CHROMOSOME	15	83	4.198280222559434	0.00977170799358253	ENSG00000137770, ENSG00000104154, ENSG00000169684, ENSG00000159459, ENSG00000166734, ENSG00000187720, ENSG00000140526, ENSG00000069956, ENSG00000138592, ENSG00000156970, ENSG00000138594, ENSG00000138593, ENSG00000197299, ENSG00000171262, ENSG00000021776, ENSG00000128872, ENSG00000151575, ENSG00000171016, ENSG00000136938, ENSG00000166477, ENSG00000134152, ENSG00000131263, ENSG00000198146, ENSG00000114062, ENSG00000104164, ENSG00000140367, ENSG00000092470, ENSG00000103978, ENSG00000081014, ENSG00000092531, ENSG00000137831, ENSG00000166200, ENSG00000104177, ENSG00000185551, ENSG00000197535, ENSG00000128881, ENSG00000128989, ENSG00000069869, ENSG00000198826, ENSG00000075131, ENSG00000174197, ENSG00000104131, ENSG00000174485, ENSG00000157450, ENSG00000154639, ENSG00000138604, ENSG00000169018, ENSG00000138600, ENSG00000129003, ENSG00000174442, ENSG00000128923, ENSG00000131873, ENSG00000064726, ENSG00000166912, ENSG00000181163, ENSG00000166068, ENSG00000128951, ENSG00000137801, ENSG00000092439, ENSG00000166503, ENSG00000069974, ENSG00000068305, ENSG00000074603, ENSG00000104067, ENSG00000137807, ENSG00000140262, ENSG00000183475, ENSG00000170113, ENSG00000137845, ENSG00000103642, ENSG00000128915, ENSG00000103994, ENSG00000117906, ENSG00000166128, ENSG00000185787, ENSG00000066933, ENSG00000138587, ENSG00000104093, ENSG00000137812, ENSG00000218283, ENSG00000137814, ENSG00000140299, ENSG00000136381, ENSG00000140575	1959	1390	43203	1.3168695671334294	0.21768210936120203	0.02425052515408277	7.657891607747325
